1851_recid,JR_1861_recid,PLD_1861_recid
11393703,14063523,12396063
13845348,15392872,15393486
5426063,5978590,5953008
10906287,11948860,11849886
12319575,13562968,13561680
12986131,14357768,14357842
12410148,13654639,13655325
14222431,14642637,15470081
12985324,14355513,14356101
14226703,15475118,15468568
13254173,14703690,14589871
14143326,15729427,15727582
13354129,14987822,14842116
11422706,12439336,12432974
13156080,14587143,14581960
13163789,14592014,14592000
14372034,16379745,15948395
9948052,10883422,10893804
13499937,15000936,15001593
13995532,15564841,15564416
14374022,15940036,15940283
9982706,10885341,10861333
13513340,15022713,15019057
9942711,10845518,10843834
13750327,15281374,15277509
13924929,15498736,15498040
13847340,15393069,15392834
13978603,15544979,15547509
13431221,14914358,14894220
13358143,14846631,14844079
13473590,14965888,14913527
13473814,14975470,14965998
13851467,15389773,15389384
12987870,14359621,14359522
13530035,15032284,15031660
13471779,14973544,14964161
13456177,14910505,14897282
12602994,14203192,13920883
14360959,15929599,15925113
13356586,14845094,14843693
13837139,15374371,15373446
12381383,14973804,13633081
13398059,14800264,14783163
13762843,15291521,15291437
13584706,15125278,15098114
13614721,15128716,14992600
13448702,14923211,14921661
11373586,12383442,12381445
13591390,15000813,15123168
14607481,16230754,16226876
16253703,18237712,18237517
13750030,15282387,15277500
13767040,15296486,15293473
13439912,14924104,14921551
12553513,13816903,13814354
11407307,12419822,12391359
14269310,15928377,15925871
12552571,13816372,13780133
9965573,10866903,11278868
11322659,14494007,12268295
13604022,15122090,17845237
5424087,5948650,3552953
1351731,883128,1344062
13915256,15491316,15742988
13899261,15460305,13761810
13471841,14981346,14981070
13420158,14888412,14917857
9993388,10888894,10877627
13285894,15461255,13630884
13326242,14800525,14571687
13294643,14727436,13580961
13356337,14793461,14846017
12958599,14582210,14529452
14590169,16192273,16258243
5958849,6550425,6719470
13293322,14758201,14755236
13133549,14510247,14512875
12246862,15023476,13417726
1403095,173557,1486621
10189108,395223,11110956
9973022,710488,10887104
1457430,1492002,1509592
5930631,720881,6478123
9983116,2953903,10869509
14598691,16238422,16238242
13242818,14774948,14686295
13248773,14687674,14691977
13238585,14631915,14683660
12888485,14211270,14240556
12498467,13787851,13743551
13957083,15529056,15524955
13134912,14551809,14557955
13750498,15279328,15279261
13120807,14542644,14535883
13223050,14658210,14648165
13289762,14753655,14755970
13124409,14566448,14523143
13752735,15282692,15281434
12253285,13470749,13423853
13222785,14621292,14664033
13619371,15137008,15136147
13319683,15278311,14785466
5921345,6531909,6469860
11417588,14364784,12429678
13468911,14963354,14953225
5937774,15085329,6493444
5931476,6478315,6478288
13337756,14773555,14791945
9973336,10886730,10874558
14294849,15807702,15832642
12735007,14139584,14417710
1442971,1240659,1506765
11463268,12459404,12445144
13921051,14558544,15494102
12720234,13445193,14016775
13430538,15001985,14906819
14278326,15768008,15834253
11309923,12433068,12315776
12409984,13678224,13700576
7791837,6919302,8938519
12483322,13728575,13727027
9961196,10863546,10862847
13463162,14885110,14766750
13249224,14618827,14692873
13456749,14937067,14938345
9930744,10824823,10884841
1636443,6485449,1496525
13882663,15296716,15423852
13195763,14625854,14632252
12594663,14318852,12525633
13590748,15009416,15088109
12588796,14045907,13854007
12218938,13400099,13381175
12419985,14625086,13657848
12987016,14548278,14359358
13173505,14549334,14561671
13271974,14733526,14717837
8935458,12598395,9623078
13270314,14743242,14711031
13093515,14376676,14438689
14200159,15855462,15786530
13248957,14657707,14622885
13264240,14711769,14722242
13272672,15462918,14713860
13219691,14620576,14660350
13251576,14696221,14703208
13047444,14409203,14410560
13481429,14967655,14967206
13165107,14591251,14593117
13412084,14988222,14884661
11364691,14437418,12375040
12380821,13642822,13635504
12024460,13650215,13278243
12772228,14204406,16480246
13084740,14375735,14393881
12528219,13792096,13778747
11360302,14477285,12369816
12349039,13861764,13597723
3406907,13896896,3725564
13585333,15042882,15114604
13269739,14763207,14711841
11387031,12406739,12401023
13168306,14360028,14595933
12508336,13809138,13749240
12312891,13562066,13556011
13154733,14512562,14517037
12990764,14578897,14372666
13085081,14486700,14485762
13330294,14828513,14812243
9991125,10878065,10898148
13864126,15376466,15408008
13228639,14687862,14674804
13249520,14684388,14695569
14323648,15783794,15871230
9994343,64049,10863134
12483264,13717400,13726983
12632594,14972323,14920800
13549707,15097708,15057731
7789380,8384263,8383024
11471828,14494497,12457799
12549406,14274032,13802483
13298319,14743857,14752399
14017600,15560030,15598455
14239134,11695681,15842464
14026535,15932389,15602914
13461159,14918403,14909856
13321889,14806035,14784728
17364490,13123979,19390980
14307310,15711686,15854415
